title,url,start_year,end_year,genre
Game of Thrones,s7L2PVdrb_8,2011, ,Fantasy
Arrow,0ZO_W2YemD8,2012, ,Action
Breaking Bad,F1HNuAE9WdU,2008,2013,Crime
The Wire,TraSFcARVwM,2002,2008,Crime
The Sopranos,NUT07eZoXPw,1999,2007,Mob
Sherlock,gzCEIBaV1Es,2010, ,Crime
The World at War,eqONgYHYo88,1973,1973,Documentary
True Detective,FxXRkqXfhYM,2014, ,Crime
Last Week Tonight with John Oliver,kuORoSEGWYo,2014, ,Talk Show
Rick and Morty,E6TUs69Cw94,2013, ,Animation
Firefly,QuEfGbj9qS4,2002,2003,Sci-Fi
Avatar,izc4-vpv6os,2005,2008,Animation
Twilight Zone,G11AhAIf18A,1959,1964,Horror
Arrested Development,zYqPs0LInls,2003,2013,Comedy
Narcos,PtJ6yAGjsIs,2015, ,Action
Batman the Animated Series,-XJ3HJXxDwc,1992,1995,Animation
House of Cards,zREOQuaqSVk,2013, ,Drama
Fullmetal Alchemist Brotherhood,2uq34TeWEdQ,2009,2010,Animation
Fargo,IFtU1OD9QE4,2014, ,Crime
Twin Peaks,i7d0Lm_31BE,1990,1991,Thriller
Freaks and Geeks,ZMcS7dsmqY4,1999,2000,Comedy
Seinfeld,_3Z_UISDg1E,1989,1998,Comedy
Friends,Xs-HbHCcK58,1994,2004,Comedy
Oz,xaTYqBQEsoE,1997,2003,Drama
Rome,8YDngmnixSc,2005,2007,Drama
The Simpsons,SR8WWFzrZAg,1989, ,Adult Animation
Better Call Saul,tGCWo6eZ1_c,2015, ,Drama
Dragon Ball z,GHnfX1RmZX8,1996,2003,Animation
Top Gear,qAe0P6rhgtQ,2002, ,Talk Show
Blackadder Goes Forth,buEuaN-wKW0,1989,Comedy
Fawlty Towers,RgLaiFEg8No,1975,1979,Comedy
Daredevil,kusHMcbtCXc,2015, ,Action
Daily Show with John Stewart,E7KiXMfTe5M,1999,2015,Talk Show
Dexter,ej8-Rqo-VT4,2006,2013,Comedy
Archer,a6yGD5Ss0kE,2009, ,Animation
House MD,WbPpbThLU5U,2004,2012,Drama
Southpark,tG4dOOiGV7U,1997, ,Adult Animation
Deadwood,jO0Ly9wB3V0,2004,2006,Crime
The Shield,R7C7sRIgTDU,2002,2008,Crime
It's Always Sunny in Philadelphia,idoYCVLh2qI,2005, ,Comedy
One Piece,L8qFV_umoVw,1999, ,Animation
Six Feet Under,6D4R5llbUyE,2001,2005,Drama
QI,GPBLk-sa2Q0,2003, ,Comedy
Code Geass: Lelouch of the Rebellion R2,DIvm7cl8KIg,2008, ,Animation
Chappels Show,luoYCYyAWa0,2003,2006,Comedy
Black Mirror,jROLrhQkK78,2011, ,Drama
The Office,0GXjAMnv1zs,2005,2013,Comedy
Black Adder II,BjFB1FZdKU8,1986,1986,Comedy
Battlestar Gallactica,rLCej27ot4w,2004,2009,Sci-Fi
The X-Files,rbBX6aEzEz8,1993,2002,Drama
The Adventures of Sherlock Homes,FiqSQ3bDkvs,1984,1985,Drama
Doctor Who,Jwj5KhF1Hhk,2005, ,Adventure
The West Wing,JivPEYjYd20,1999,2006,Drama
Black Adder III,B9WVAj260dM,1987,1987,Comedy
Hunter vs Hunter,U1YHr_CUiJ8,2011, ,Animation
Curb your Enthusiasm,Ag1o3koTLWM,1999, ,Comedy
Through the Wormhole,IRquOwodhL8,2010, ,Documentary
Downton Abbey,U3xnUdt5Zm0,2010, ,Drama
